Alternatif,Score
M205,0.008067460162208879
M008,0.007549225014112233
M098,0.007449790162360408
M052,0.007396880869483927
M051,0.007076503563195805
M197,0.006787568888501584
M183,0.006719524824342091
M080,0.006570053692744038
M115,0.006469573883178435
M037,0.006437605774382544
M025,0.006357352376907483
M129,0.006343447986838542
M074,0.006270193279655874
M040,0.00612187611796409
M093,0.006098875223615125
M062,0.006086951105960487
M114,0.006053685097986929
M155,0.005975566829527448
M210,0.005913581797701019
M044,0.005881092641363214
M165,0.005880462562216166
M036,0.005826792377884653
M121,0.005773508926419603
M162,0.005739504506493822
M123,0.005734243985910978
M108,0.005733593192243376
M126,0.005732759658907816
M067,0.005676547501907153
M019,0.005665979951656101
M125,0.005662970922940008
M009,0.005658107688698373
M157,0.005619853730334856
M192,0.005601767117939453
M122,0.005598278079981091
M071,0.00554585242334846
M119,0.0055316743416634895
M079,0.005514997793275427
M206,0.005513265121598512
M033,0.005486843837744103
M127,0.005485586599045706
M209,0.005462483418871678
M131,0.005462194470690388
M050,0.005451488714420364
M207,0.005448015199980497
M141,0.0054449737618766985
M084,0.005421310276797287
M164,0.005386544747655204
M001,0.005354905346421235
M024,0.005345440137416185
M142,0.005332308748765071
M042,0.005308075878117081
M039,0.0052705372953214934
M077,0.0052405297789418805
M203,0.0051973719158317794
M041,0.005187423643058282
M004,0.005181377272835717
M134,0.005178152778869817
M054,0.0051757060377817955
M148,0.0051679788043619375
M179,0.005154017451741695
M068,0.005137993779819326
M063,0.0051228286271351306
M181,0.005109098014326367
M020,0.005104498655006796
M124,0.005098731393717991
M161,0.005062965755498485
M059,0.005054189742624244
M029,0.00505374261967745
M094,0.004973296409132738
M017,0.004969615832069854
M146,0.004962441785938703
M118,0.004958092662823396
M140,0.004955985571101775
M211,0.0049538901821904015
M013,0.004951177953055308
M016,0.004941819629942968
M186,0.004928343086066224
M014,0.004923281275734859
M032,0.004921762749684514
M190,0.00492137693961694
M035,0.004911457844952259
M182,0.004908912533052917
M104,0.004893813531986728
M100,0.004856896808961877
M136,0.0048485998808495126
M075,0.004830397537480393
M105,0.004828876951881878
M107,0.004818801043978324
M130,0.004816804233289996
M087,0.004805420253519028
M175,0.0047960193056159105
M158,0.004795517594300335
M169,0.004790809452804469
M156,0.004778722921251111
M196,0.004731689730033722
M047,0.004712345126196066
M006,0.004709585674879349
M117,0.004708383725056857
M069,0.004691037562492158
M198,0.004687109349187821
M002,0.004672439180599413
M204,0.004672439180599413
M128,0.004668840463463824
M208,0.004661790957364697
M085,0.004660655076238095
M005,0.004646295523803254
M097,0.004630452464929956
M058,0.004617612614684258
M061,0.004613360478517889
M088,0.0046100295970694614
M010,0.004575688583685535
M139,0.00455508994036974
M116,0.004546691616547307
M090,0.004540073614307458
M154,0.004523117063354567
M065,0.004517586335342451
M153,0.004514099869025205
M176,0.004512004793943861
M027,0.0045068774788559135
M076,0.0044998598229744995
M092,0.004467138892796327
M086,0.0044343946447191595
M053,0.004432448431385951
M026,0.0044248373345544935
M031,0.0044236965170267655
M018,0.00441810592215978
M091,0.0044145107215327615
M133,0.004412298522368437
M113,0.004404601780007078
M120,0.004378244566862335
M034,0.004375486097857988
M143,0.004368341907643642
M167,0.004360082291759371
M030,0.004358500421188981
M102,0.0043536840021758585
M174,0.004339709925034838
M194,0.004330061061778637
M015,0.004282254854881649
M170,0.004264168858886446
M095,0.004246599295265955
M038,0.004245222115272652
M057,0.004241682459938351
M163,0.004235238316074718
M189,0.004214984468008422
M099,0.004209013963104136
M172,0.004205932489028856
M083,0.004202896685313097
M048,0.004202076102996364
M150,0.0041992809415768734
M078,0.0041789039281279975
M082,0.004165090889514232
M199,0.004162252791603018
M151,0.004161654230744988
M180,0.004160348589381746
M168,0.004158329355114822
M193,0.004139975680968706
M060,0.004136415294762469
M073,0.004129377480334389
M081,0.004121353588623521
M072,0.004110116139778585
M046,0.004099031986280383
M089,0.00409605519651003
M200,0.004085971521077624
M012,0.0040759705581222844
M096,0.004054012314006365
M049,0.00404960530864675
M003,0.004021635544403252
M185,0.0040110954216574755
M202,0.003985580731566688
M056,0.003973116338266212
M011,0.003941502932714644
M144,0.003927111111261936
M149,0.003919651967525934
M201,0.003916132826853073
M110,0.0039004523093497286
M159,0.0039004523093497286
M184,0.003877175658249322
M007,0.003826927754512007
M106,0.0037922962723934456
M132,0.0037902132275023184
M021,0.0037862504490631
M188,0.0037733580517394514
M160,0.0037437445551257113
M166,0.0037431003807128745
M023,0.003740799480639161
M191,0.003703512647715528
M195,0.003689884806965053
M173,0.0036867630546676567
M055,0.003685142435670684
M177,0.0036718026782585874
M212,0.0036561351202836524
M135,0.0036383785440549923
M101,0.0036224296219900566
M171,0.0035948600285874875
M103,0.003591857513532817
M187,0.0035622802902840695
M112,0.0035299266622100495
M137,0.0035038848469999273
M045,0.0034973894931671383
M152,0.003459246992725939
M070,0.003448068667722651
M145,0.003358941461506494
M064,0.003346912908156009
M028,0.003330904925489001
M111,0.0033156176965716093
M178,0.003246272562895375
M138,0.003144863516857262
M109,0.003083956273097244
M043,0.0030728083856713427
M147,0.0030540855308406585
M022,0.003048805787691798
M066,0.0028031381040963923
